n,method,generator,time,node,leaf,width,buffer,threshold
33554432,baseline,random,584,0,0,0,0,0
33554432,baseline,random,573,0,0,0,0,0
33554432,baseline,random,580,0,0,0,0,0
33554432,baseline,exponential,897,0,0,0,0,0
33554432,baseline,exponential,866,0,0,0,0,0
33554432,baseline,exponential,906,0,0,0,0,0
33554432,baseline,zipf,1801,0,0,0,0,0
33554432,baseline,zipf,1764,0,0,0,0,0
33554432,baseline,zipf,1800,0,0,0,0,0

33554432,cm,random,544,256,256,3000000,33554432,300000
33554432,cm,random,958,65792,65536,3000000,33892904,100000
33554432,cm,random,1030,65792,65536,3000000,33891408,20000
33554432,cm,random,1011,65792,65536,3000000,33891406,4000
33554432,cm,random,1014,65792,65536,3000000,33892282,800

33554432,cm,random,559,256,256,300000,33554432,300000
33554432,cm,random,1030,65792,65536,300000,40409881,100000
33554432,cm,random,1021,65792,65536,300000,40413130,20000
33554432,cm,random,984,65792,65536,300000,40408953,4000
33554432,cm,random,1034,65792,65536,300000,40409897,800

33554432,tower,random,533,256,256,3000000,33557144,300000
33554432,tower,random,982,65792,65536,3000000,33965787,100000
33554432,tower,random,964,65792,65536,3000000,33965167,20000
33554432,tower,random,1010,65792,65536,3000000,33964978,4000
33554432,tower,random,955,65792,65536,3000000,33963831,800

33554432,tower,random,535,256,256,300000,33613019,300000
33554432,tower,random,993,65792,65536,300000,41037518,100000
33554432,tower,random,1005,65792,65536,300000,41026959,20000
33554432,tower,random,1000,68608,68341,300000,41609749,4000
33554432,tower,random,1048,80640,80326,300000,44120799,800

33554432,cm,exponential,822,5632,5611,3000000,33623719,300000
33554432,cm,exponential,952,50432,50236,3000000,34124426,100000
33554432,cm,exponential,1132,129536,129031,3000000,35184073,20000
33554432,cm,exponential,1288,328704,327421,3000000,38059965,4000
33554432,cm,exponential,1659,1629440,1623076,3000000,57074620,800

33554432,cm,exponential,872,5632,5611,300000,34612093,300000
33554432,cm,exponential,981,50432,50236,300000,41826089,100000
33554432,cm,exponential,1227,130816,130306,300000,57997693,20000
33554432,cm,exponential,1396,352512,351136,300000,106371988,4000
33554432,cm,exponential,2258,9086976,9051481,300000,1973930279,800

33554432,tower,exponential,819,5632,5611,3000000,33617865,300000
33554432,tower,exponential,986,50432,50236,3000000,34102400,100000
33554432,tower,exponential,1155,128768,128266,3000000,35004216,20000
33554432,tower,exponential,1285,328704,327421,3000000,37385814,4000
33554432,tower,exponential,1563,1627136,1620781,3000000,53035777,800

33554432,tower,exponential,834,5632,5611,300000,34586847,300000
33554432,tower,exponential,966,50432,50236,300000,41672747,100000
33554432,tower,exponential,1201,130816,130306,300000,56886128,20000
33554432,tower,exponential,1396,349952,348586,300000,100919253,4000
33554432,tower,exponential,2247,9153792,9118036,300000,1987827037,800

33554432,cm,zipf,1181,1536,1531,3000000,33554432,300000
33554432,cm,zipf,1175,1536,1531,3000000,33554432,100000
33554432,cm,zipf,1183,1536,1531,3000000,33554432,20000
33554432,cm,zipf,1188,1536,1531,3000000,33554432,4000
33554432,cm,zipf,1157,1536,1531,3000000,33554432,800

33554432,cm,zipf,1170,1536,1531,300000,33554432,300000
33554432,cm,zipf,1158,1536,1531,300000,33554432,100000
33554432,cm,zipf,1174,1536,1531,300000,33554432,20000
33554432,cm,zipf,1176,1536,1531,300000,33554432,4000
33554432,cm,zipf,1168,1536,1531,300000,33554432,800

33554432,tower,zipf,1174,1536,1531,3000000,33554432,300000
33554432,tower,zipf,1175,1536,1531,3000000,33554432,100000
33554432,tower,zipf,1205,1536,1531,3000000,33554432,20000
33554432,tower,zipf,1183,1536,1531,3000000,33554432,4000
33554432,tower,zipf,1158,1536,1531,3000000,33554432,800

33554432,tower,zipf,1187,1536,1531,300000,33554432,300000
33554432,tower,zipf,1168,1536,1531,300000,33554432,100000
33554432,tower,zipf,1164,1536,1531,300000,33554432,20000
33554432,tower,zipf,1177,1536,1531,300000,33554432,4000
33554432,tower,zipf,1171,1536,1531,300000,33554432,800

33554432,cm,zipf,1157,1792,1786,500,35565423,1000
33554432,cm,zipf,1209,1792,1786,500,35566637,800
33554432,cm,zipf,1200,1792,1786,500,35565137,600
33554432,cm,zipf,1160,1792,1786,500,35565329,400
33554432,cm,zipf,1170,1792,1786,500,35564972,200
